Region,Article Link
Europe,https://www.bbc.com/news/world-europe-68471119
Europe,https://www.bbc.com/news/world-europe-68477318
Europe,https://www.bbc.com/news/world-europe-68471568
Europe,https://www.bbc.com/news/world-europe-68467329
Europe,https://www.bbc.com/news/technology-68467752
Europe,https://www.bbc.com/news/science-environment-68465056
Europe,https://www.bbc.com/news/world-europe-68463978
Europe,https://www.bbc.com/news/entertainment-arts-68430049
Europe,https://www.bbc.com/news/world-europe-68461545
Europe,https://www.bbc.com/news/world-europe-68461542
Europe,https://www.bbc.com/news/world-europe-68455874
Europe,https://www.bbc.com/news/uk-68347415
Europe,https://www.bbc.com/news/articles/cz5zg766gvgo
Europe,https://www.bbc.com/news/world-europe-68450219
Europe,https://www.bbc.com/news/world-europe-68456231
Europe,https://www.bbc.com/sport/football/68440315
Europe,https://www.bbc.com/news/world-europe-68457743
Europe,https://www.bbc.com/news/entertainment-arts-68342135
Europe,https://www.bbc.com/news/entertainment-arts-68425861
Europe,https://www.bbc.com/news/entertainment-arts-68425861
Europe,https://www.bbc.com/news/world-europe-68467333
Europe,https://www.bbc.com/news/world-europe-68477318
Europe,https://www.bbc.com/news/articles/cn3mg4rgl4eo
Europe,https://www.bbc.com/news/world-europe-68471119
Europe,https://www.bbc.com/news/articles/cl4kn2mdzdno
Europe,https://www.bbc.com/news/world-europe-68471568
Europe,https://www.bbc.com/news/world-europe-68467329
Europe,https://www.bbc.com/news/technology-68467752
Europe,https://www.bbc.com/news/science-environment-68465056
Europe,https://www.bbc.com/news/entertainment-arts-68430049
Europe,https://www.bbc.com/news/world-europe-68461545
Europe,https://www.bbc.com/news/world-europe-68463978
Europe,https://www.bbc.com/news/entertainment-arts-68462848
Europe,https://www.bbc.com/news/world-europe-68461794
Europe,https://www.bbc.com/news/world-europe-68456231
Europe,https://www.bbc.com/news/articles/c51d9kx42z3o
Europe,https://www.bbc.com/news/world-europe-68461542
Europe,https://www.bbc.com/news/world-europe-68455874
Europe,https://www.bbc.com/news/world-europe-68457743
Europe,https://www.bbc.com/news/world-europe-68450219
Europe,https://www.bbc.com/news/uk-68452333
Europe,https://www.bbc.com/news/uk-england-gloucestershire-68447368
Europe,https://www.bbc.com/news/articles/cmmqn8dnng2o
Europe,https://www.bbc.com/news/world-europe-68435167
Europe,https://www.bbc.com/news/articles/c994jvl05k7o
Europe,https://www.bbc.com/news/live/world-68427413
Europe,https://www.bbc.com/news/articles/cd1x4l2y8y9o
Europe,https://www.bbc.com/news/entertainment-arts-68434209
Europe,https://www.bbc.com/news/entertainment-arts-68425861
Europe,https://www.bbc.com/news/uk-68347415
Europe,https://www.bbc.com/news/world-europe-68435163
Europe,https://www.bbc.com/news/world-europe-68440016
Europe,https://www.bbc.com/news/articles/cw0ry0p8wrro
Europe,https://www.bbc.com/news/articles/c1w1e5w92yqo
Europe,https://www.bbc.com/news/live/world-europe-68431017
Europe,https://www.bbc.com/news/world-europe-68423991
Europe,https://www.bbc.com/news/world-europe-68431803
Europe,https://www.bbc.com/news/world-europe-68428670
Europe,https://www.bbc.com/news/world-africa-68428789
Europe,https://www.bbc.com/news/uk-england-68429627
Europe,https://www.bbc.com/news/technology-68428536
Europe,https://www.bbc.com/news/world-europe-68423990
Europe,https://www.bbc.com/news/uk-68426455
Europe,https://www.bbc.com/news/world-europe-68423229
Europe,https://www.bbc.com/news/world-europe-68415802
Europe,https://www.bbc.com/news/world-europe-68420566
Europe,https://www.bbc.com/news/business-68401814
Europe,https://www.bbc.com/news/world-europe-68420565
Europe,https://www.bbc.com/news/world-europe-68417223
Europe,https://www.bbc.com/news/world-europe-68418193
Europe,https://www.bbc.com/news/uk-68419311
Europe,https://www.bbc.com/news/world-europe-68415892
Europe,https://www.bbc.com/news/uk-england-northamptonshire-68404820
Europe,https://www.bbc.com/news/world-europe-68416287
Europe,https://www.bbc.com/news/world-africa-68413185
Europe,https://www.bbc.com/news/world-europe-68414300
Europe,https://www.bbc.com/news/world-europe-68410219
Europe,https://www.bbc.com/news/world-latin-america-68413102
Europe,https://www.bbc.com/news/world-europe-68413372
Europe,https://www.bbc.com/news/world-europe-68412520
Europe,https://www.bbc.com/news/articles/cw8j8x965jpo
Europe,https://www.bbc.com/news/world-europe-68405893
Europe,https://www.bbc.com/news/uk-england-merseyside-68404378
Europe,https://www.bbc.com/news/world-europe-68401873
Europe,https://www.bbc.com/news/world-europe-18023383
Europe,https://www.bbc.com/news/technology-68383587
Europe,https://www.bbc.com/news/world-europe-17941131
Europe,https://www.bbc.com/news/world-europe-68401870
Europe,https://www.bbc.com/news/world-asia-india-68366861
Europe,https://www.bbc.com/news/uk-wales-68369946
Europe,https://www.bbc.com/news/world-europe-68397525
Europe,https://www.bbc.com/news/world-europe-68392233
Europe,https://www.bbc.com/news/world-europe-68396481
Europe,https://www.bbc.com/news/uk-england-northamptonshire-68358642
Europe,https://www.bbc.com/news/world-europe-68395030
Europe,https://www.bbc.com/news/world-europe-68376700
Europe,https://www.bbc.com/news/world-europe-68393854
Europe,https://www.bbc.com/news/uk-england-london-68392144
Europe,https://www.bbc.com/news/uk-england-68391205
Europe,https://www.bbc.com/news/uk-68391750
Europe,https://www.bbc.com/news/uk-england-york-north-yorkshire-68393636
Europe,https://www.bbc.com/news/world-europe-68390343
Europe,https://www.bbc.com/news/uk-68391780
Europe,https://www.bbc.com/news/articles/cnkn5281e8po
Europe,https://www.bbc.com/news/uk-northern-ireland-68391694
Europe,https://www.bbc.com/news/uk-68388542
Europe,https://www.bbc.com/news/uk-england-leeds-68390902
Europe,https://www.bbc.com/news/articles/ckrdx4mjd2po
Europe,https://www.bbc.com/news/uk-england-york-north-yorkshire-68380944
Europe,https://www.bbc.com/news/live/world-europe-68373639
Europe,https://www.bbc.com/news/uk-england-dorset-68369640
Europe,https://www.bbc.com/news/world-europe-68384341
Europe,https://www.bbc.com/news/world-europe-68387232
Europe,https://www.bbc.com/news/world-europe-68379253
Europe,https://www.bbc.com/news/world-europe-68381698
Europe,https://www.bbc.com/news/world-europe-68383608
Europe,https://www.bbc.com/news/world-us-canada-68380251
Europe,https://www.bbc.com/news/world-europe-68384229
Europe,https://www.bbc.com/news/world-europe-68384402
Europe,https://www.bbc.com/news/uk-politics-68379392
Europe,https://www.bbc.com/news/uk-northern-ireland-68370377
Europe,https://www.bbc.com/news/world-europe-68378807
Europe,https://www.bbc.com/news/world-europe-60125659
Europe,https://www.bbc.com/news/world-europe-68378736
Europe,https://www.bbc.com/news/articles/ce7lx2zde45o
Europe,https://www.bbc.com/news/world-europe-68378968
Europe,https://www.bbc.com/news/entertainment-arts-68379762
Europe,https://www.bbc.com/news/world-us-canada-68378730
Europe,https://www.bbc.com/news/world-europe-68374811
Europe,https://www.bbc.com/news/articles/c3gkq50jekgo
Europe,https://www.bbc.com/news/articles/c51e5q4gqp7o
Europe,https://www.bbc.com/news/live/world-europe-68378338
Europe,https://www.bbc.com/news/articles/clleeq496pno
Europe,https://www.bbc.com/news/uk-england-dorset-68363712
Europe,https://www.bbc.com/news/world-europe-68372958
Europe,https://www.bbc.com/news/uk-england-surrey-68362352
Europe,https://www.bbc.com/news/uk-england-surrey-68361086
Europe,https://www.bbc.com/news/world-africa-68374358
Europe,https://www.bbc.com/news/world-europe-68374769
Europe,https://www.bbc.com/news/world-europe-68374806
Europe,https://www.bbc.com/news/world-68367482
